trading_day,update_sec,update_msec,instrument_id,volume,turn_over,open_interest,last_price,bid_p1,bid_v1,ask_p1,ask_v1
20250711,09:29:00,000,IF2507,82,98326200,60250,3997,3996.8,2,3997.2,1
20250711,09:29:00,000,IF2508,1,1196400,9149,3988,3979.8,2,3988,1
20250711,09:29:00,000,IF2509,74,88289400,144298,3977,3977,2,3978,1
20250711,09:29:00,000,IF2512,4,4731600,44255,3943,3942,1,3945,1
20250711,09:30:00,000,IF2507,94,112724220,60242,4000,4000.6,10,4001,1
20250711,09:30:00,000,IF2508,2,2390760,9148,3981.2,3980.2,2,3982,1
20250711,09:30:00,000,IF2509,94,112152000,144297,3976.4,3976,5,3976.6,4
20250711,09:30:00,000,IF2512,6,7098360,44253,3944.6,3943,1,3945,1
20250711,09:30:00,500,IF2507,121,145136820,60235,4000.8,4000.8,1,4004,3
20250711,09:30:00,500,IF2508,5,5975160,9146,3983,3982.8,1,3987.4,2
20250711,09:30:00,500,IF2509,130,155093580,144278,3976,3976,1,3976.4,1
20250711,09:30:00,500,IF2512,9,10648680,44253,3945,3944.4,1,3945,1
20250711,09:30:01,000,IF2507,137,164346480,60222,4001,4000.8,6,4001,1
20250711,09:30:01,000,IF2508,7,8366400,9146,3985.4,3983.6,1,3986,1
20250711,09:30:01,000,IF2509,170,202812960,144247,3976.2,3977,1,3977.6,1
20250711,09:30:01,000,IF2512,10,11832180,44252,3945,3945,3,3946,1
20250711,09:30:01,500,IF2507,156,187153020,60209,4001,4001,2,4001.8,1
20250711,09:30:01,500,IF2508,7,8366400,9146,3985.4,3984,2,3984.2,1
20250711,09:30:01,500,IF2509,190,226675740,144233,3976,3976,1,3976.4,2
20250711,09:30:01,500,IF2512,13,15383580,44249,3946,3945,3,3946.8,2
20250711,09:30:02,000,IF2507,179,214762860,60192,4001.8,4001.8,2,4002,2
20250711,09:30:02,000,IF2508,10,11952120,9143,3984,3984,1,3986.8,2
20250711,09:30:02,000,IF2509,208,248148900,144220,3976.4,3976.4,11,3977.4,3
20250711,09:30:02,000,IF2512,14,16567380,44248,3946,3945.8,2,3946,1
20250711,09:30:02,500,IF2507,191,229169100,60182,4001.8,4001,1,4001.8,3
20250711,09:30:02,500,IF2508,10,11952120,9143,3984,3984.4,3,3986,1
20250711,09:30:02,500,IF2509,220,262466160,144209,3976.6,3976.6,3,3977,1
20250711,09:30:02,500,IF2512,17,20118900,44245,3946.2,3945.4,2,3946.6,2
20250711,09:30:03,000,IF2507,210,251977140,60173,4001,4001,4,4001.8,3
20250711,09:30:03,000,IF2508,11,13147920,9142,3986,3983.6,1,3986.8,2
20250711,09:30:03,000,IF2509,238,283941300,144192,3977,3977,4,3977.6,3
20250711,09:30:03,000,IF2512,19,22486140,44245,3945.4,3946.2,1,3946.4,3
20250711,09:30:03,500,IF2507,217,260379960,60172,4001.8,4001,4,4001.8,3
20250711,09:30:03,500,IF2508,11,13147920,9142,3986,3984.6,2,3986.6,1
20250711,09:30:03,500,IF2509,253,301835760,144181,3976.8,3975.4,1,3977,6
20250711,09:30:03,500,IF2512,24,28405320,44243,3946,3944.4,1,3945.6,6
20250711,09:30:04,000,IF2507,229,274784340,60165,4001.4,4001.2,1,4001.6,7
20250711,09:30:04,000,IF2508,11,13147920,9142,3986,3983.8,3,3986.2,1
20250711,09:30:04,000,IF2509,262,312571140,144177,3975.8,3975.2,2,3976.4,3
20250711,09:30:04,000,IF2512,24,28405320,44243,3946,3944.4,1,3945.2,2
20250711,09:30:04,500,IF2507,235,281986140,60166,4001,4000.8,1,4001.2,1
20250711,09:30:04,500,IF2508,11,13147920,9142,3986,3984,2,3986.2,1
20250711,09:30:04,500,IF2509,269,320919720,144172,3975.4,3975,4,3975.4,3
20250711,09:30:04,500,IF2512,25,29588640,44243,3944.4,3942.8,1,3945,3
20250711,09:30:05,000,IF2507,248,297589140,60156,4001,3999.8,2,4001,4
20250711,09:30:05,000,IF2508,15,17929800,9141,3983.8,3983.8,1,3986,2
20250711,09:30:05,000,IF2509,295,351929460,144159,3977,3977,4,3977.2,5
