trading_day,instrument_id,tick_size,pre_settlement_price,pre_close_price,upper_limit_price,lower_limit_price,expire_day,strike_price,option_type
20250625,IO2507-C-3350,0.2,520.8,461.4,911.2,130.4,20250718,3350,C
20250625,IO2507-C-3400,0.2,470.8,467.4,861.2,80.4,20250718,3400,C
20250625,IO2507-C-3450,0.2,425.2,424,815.6,34.8,20250718,3450,C
20250625,IO2507-C-3500,0.2,376.4,368.4,766.8,0.2,20250718,3500,C
20250625,IO2507-C-3550,0.2,326.6,326.4,717,0.2,20250718,3550,C
20250625,IO2507-C-3600,0.2,277.8,275.6,668.2,0.2,20250718,3600,C
20250625,IO2507-C-3650,0.2,229.2,224.8,619.6,0.2,20250718,3650,C
20250625,IO2507-C-3700,0.2,182.6,182.6,573,0.2,20250718,3700,C
20250625,IO2507-C-3750,0.2,138.2,138,528.6,0.2,20250718,3750,C
20250625,IO2507-C-3800,0.2,98,98,488.4,0.2,20250718,3800,C
20250625,IO2507-C-3850,0.2,65.4,65.4,455.8,0.2,20250718,3850,C
20250625,IO2507-C-3900,0.2,41,41,431.4,0.2,20250718,3900,C
20250625,IO2507-C-3950,0.2,25.8,25.8,416.2,0.2,20250718,3950,C
20250625,IO2507-C-4000,0.2,16.4,16.4,406.8,0.2,20250718,4000,C
20250625,IO2507-C-4050,0.2,11.4,11.4,401.8,0.2,20250718,4050,C
20250625,IO2507-C-4100,0.2,8.6,8.6,399,0.2,20250718,4100,C
20250625,IO2507-C-4150,0.2,6.8,6.8,397.2,0.2,20250718,4150,C
20250625,IO2507-C-4200,0.2,5.2,5.2,395.6,0.2,20250718,4200,C
20250625,IO2507-C-4250,0.2,4.2,4.2,394.6,0.2,20250718,4250,C
20250625,IO2507-C-4300,0.2,3.6,3.8,394,0.2,20250718,4300,C
20250625,IO2507-C-4350,0.2,3.4,3.4,393.8,0.2,20250718,4350,C
20250625,IO2507-P-3350,0.2,1.2,1.2,391.6,0.2,20250718,3350,P
20250625,IO2507-P-3400,0.2,1.6,1.6,392,0.2,20250718,3400,P
20250625,IO2507-P-3450,0.2,2,2,392.4,0.2,20250718,3450,P
20250625,IO2507-P-3500,0.2,2.4,2.6,392.8,0.2,20250718,3500,P
20250625,IO2507-P-3550,0.2,2.8,3,393.2,0.2,20250718,3550,P
20250625,IO2507-P-3600,0.2,3.6,3.6,394,0.2,20250718,3600,P
20250625,IO2507-P-3650,0.2,5.8,5.8,396.2,0.2,20250718,3650,P
20250625,IO2507-P-3700,0.2,8.8,8.8,399.2,0.2,20250718,3700,P
20250625,IO2507-P-3750,0.2,14.4,14.4,404.8,0.2,20250718,3750,P
20250625,IO2507-P-3800,0.2,24.2,24.2,414.6,0.2,20250718,3800,P
20250625,IO2507-P-3850,0.2,40.8,40.8,431.2,0.2,20250718,3850,P
20250625,IO2507-P-3900,0.2,66.6,66.6,457,0.2,20250718,3900,P
20250625,IO2507-P-3950,0.2,100,100,490.4,0.2,20250718,3950,P
20250625,IO2507-P-4000,0.2,141.6,141.6,532,0.2,20250718,4000,P
20250625,IO2507-P-4050,0.2,187,186.4,577.4,0.2,20250718,4050,P
20250625,IO2507-P-4100,0.2,233.4,233.4,623.8,0.2,20250718,4100,P
20250625,IO2507-P-4150,0.2,281.4,282.4,671.8,0.2,20250718,4150,P
20250625,IO2507-P-4200,0.2,330,333.8,720.4,0.2,20250718,4200,P
20250625,IO2507-P-4250,0.2,383.4,391,773.8,0.2,20250718,4250,P
20250625,IO2507-P-4300,0.2,433.4,419.4,823.8,43,20250718,4300,P
20250625,IO2507-P-4350,0.2,483.6,477.4,874,93.2,20250718,4350,P
